AEN101,INTRODUCTION TO AEROSPACE ENGINEERING,Aerospace
AEN102,ELEMENTS OF ARODYNAMICS,Aerospace
AEN103,AIRCRAFT SYSTEMS AND INSTRUMENTATION,Aerospace
AEN201,AIRCRAFT MATERIALS & PROCESSES,Aerospace
AEN202,AIRCRAFT PROPULSION,Aerospace
AEN203,AIRCRAFT PERFORMANCE,Aerospace
AEN204,AIRCRAFT STRUCTURES,Aerospace
AEN206,ENGINEERING ANALYSIS & DESIGN,Aerospace
AEN207,AERO ENGINE DESIGN,Aerospace
AEN208,AIRCRAFT STRUCTURAL ANALYSIS AND DESIGN,Aerospace
AEN209,AIRCRAFT STABILITY AND CONTROL,Aerospace
AEN210,COMPRESSIBLE AND FINITE WING AERODYNAMICS,Aerospace
AEN301,VIBRATIONS AND AERO ELASTICITY,Aerospace
AEN302,GAS DYNAMICS,Aerospace
AEN303,AIRPLANE DESIGN,Aerospace
AEN304,COMPUTATIONAL FLUID DYNAMICS,Aerospace
AEN305,SPACE DYNAMICS,Aerospace
AEN401,HELICOPTER DYNAMICS ,Aerospace
AEN402,AIRCRAFT MAINTENANCE AND AIRWORTHINESS,Aerospace
AEN403,WIND TURBINES,Aerospace
AEN404,KINEMATICS & DYNAMICS OF MACHINES,Aerospace
AEN405,EXPERIMENTAL AERODYNAMICS,Aerospace
AEN411,AVIONICS,Aerospace
AEN412,VISCOUS FLOW THEORY,Aerospace
AEN413,ROCKET PROPULSION,Aerospace
AEN414,WIND TUNNEL TECHNIQUES,Aerospace
AEN415,COMPOSITE MATERIALS,Aerospace
AEN416,MISSILE TECHNOLOGY,Aerospace
AEN417,AIR TRANSPORTATIONS AND OPERATIONS,Aerospace
AEN421,ADVANCED AERODYNAMICS,Aerospace
AEN422,AUTOMATIC FLIGHT CONTROL,Aerospace
AEN423,AIRCRAFT DESIGN & OPTIMIZATION,Aerospace
AEN424,DYNAMICS OF AEROSPACE STRUCTURES,Aerospace
AEN425,ADVANCES AEROSPACE PROPULSION SYSTEMS,Aerospace
CEN431,STRUCTURAL ANALYSIS & DESIGN,Civil
CEN432,HIGHWAY & TRAFFIC ENGINEERING,Civil
CEN433,WATER SUPPLY & WASTE WATER TREATMENT,Civil
CEN434,WATER RESOURCES ENGINEERING,Civil
CEN435,GEOMATICS ENGINEERING,Civil
CEN101,Introduction to Civil Engineering,Civil
CEN102,Building Construction & Estimation,Civil
CEN103,Fluid Mechanics,Civil
CEN201,Solid Mechanics,Civil
CEN202,Geo-informatics,Civil
CEN203,Transportation Engineering-I,Civil
CEN204,Environmental Engineering-I,Civil
CEN205,Technical Communication,Civil
CEN206,Engineering Analysis & Design,Civil
CEN207,Structural Analysis-I,Civil
CEN208,Reinforced Concrete Design,Civil
CEN209,Open Channel Hydraulics,Civil
CEN210,Geotechnical Engineering,Civil
CEN301,Design of Steel Structures,Civil
CEN302,Foundation Engineering,Civil
CEN303,Structural Analysis-II,Civil
CEN304,Transportation Engineering-II,Civil
CEN305,Environmental Engineering-II,Civil
CEN401,Irrigation Engineering and Hydraulic Structures,Civil
CEN402,Construction Management,Civil
CEN403,Concrete Technology,Civil
CEN404,Engineering Geology,Civil
CEN405,Ground Improvement Techniques,Civil
CEN406,Advanced reinforced Concrete design,Civil
CEN407,Earthquake Resistance Design and Detailing,Civil
CEN408,Advanced Steel Design,Civil
CEN409,Advanced Structural Analysis,Civil
CEN410,Transportation Planning and Management,Civil
CEN411,Mass Transportation System,Civil
CEN412,Traffic Engineering,Civil
CEN413,Economic Evaluation of Transportation Projects,Civil
CEN414,HYDROLOGY & DAMS,Civil
CEN415,FLOOD CONTROL & RIVER ENGINEERING,Civil
CEN416,HYDRO POWER ENGINEERING,Civil
CEN417,GROUND WATER HYDRAULICS,Civil
CEN418,INDUSTRIAL WASTE MANAGEMENT,Civil
CEN419,ADVANCED WATER AND WASTE WATER TREATMENT,Civil
CEN420,SOLID WASTE MANAGEMENT,Civil
